seq,case_id,activity_id,timestamp,resource_id,player_team,teams_play,quarter,outcome,shot_type,shot_distance_by_foot,shot_points,score_board_dal,score_board_bos
166,play_25,dribble,20:05:55,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
167,play_25,pass,20:06:03,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
168,play_25,dribble,20:06:05,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
169,play_25,pass,20:06:06,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
170,play_25,dribble,20:06:09,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
171,play_25,shot-miss,20:06:14,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,0,driving layup,1,2,8,13
172,play_26,defensive-rebound,20:06:15,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
173,play_26,dribble,20:06:15,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
174,play_26,pass,20:06:21,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
175,play_26,pass,20:06:22,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
176,play_26,pass,20:06:27,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
177,play_26,pass,20:06:27,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
178,play_26,dribble,20:06:29,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
179,play_26,pass-to-assist,20:06:29,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,8,13
180,play_26,shot-make,20:06:32,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,jump shot,28,3,11,13
181,play_27,pass,20:06:34,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
182,play_27,dribble,20:06:37,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
183,play_27,pass,20:06:38,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
184,play_27,dribble,20:06:40,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
185,play_27,pass,20:06:42,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
186,play_27,dribble,20:06:44,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
187,play_27,shot-miss,20:06:51,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,0,driving layup,7,2,11,13
188,play_28,block,20:06:51,P.J. Washington,Dallas Mavericks,Boston Celtics,1st quarter,1,,,,11,13
189,play_28,jump ball,20:06:52,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
190,play_28,pass-to-assist,20:06:52,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,13
191,play_28,shot-make,20:06:57,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,jump shot,26,3,11,16
192,play_29,pass,20:06:58,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
193,play_29,dribble,20:07:00,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
194,play_29,pass,20:07:09,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
195,play_29,pass,20:07:10,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
196,play_29,pass,20:07:11,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
197,play_29,shot-miss,20:07:13,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,0,jump shot,27,3,11,16
198,play_30,defensive-rebound,20:07:15,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
199,play_30,dribble,20:07:16,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
200,play_30,pass,20:07:21,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
201,play_30,dribble,20:07:22,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
202,play_30,pass,20:07:23,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
203,play_30,shot-miss,20:07:26,Kristaps Porzingis,Boston Celtics,Boston Celtics,1st quarter,0,jump shot,25,3,11,16
204,play_31,offensive-rebound,20:07:28,Sam Hauser,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
205,play_31,pass,20:07:28,Sam Hauser,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
206,play_31,dribble,20:07:31,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,11,16
207,play_31,shot-miss,20:07:37,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,0,turnaround fadeaway shot,7,2,11,16
208,play_32,defensive-rebound,20:07:39,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
209,play_32,dribble,20:07:39,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
210,play_32,pass,20:07:46,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
211,play_32,dribble,20:07:48,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
212,play_32,pass,20:07:49,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
213,play_32,dribble,20:07:50,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
214,play_32,pass,20:07:51,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
215,play_32,pass,20:07:54,Dereck Lively II,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
216,play_32,dribble,20:07:55,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
217,play_32,pass,20:07:58,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
218,play_32,dribble,20:07:59,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
219,play_32,pass-to-assist,20:08:02,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,11,16
220,play_32,shot-make,20:08:03,Dereck Lively II,Dallas Mavericks,Dallas Mavericks,1st quarter,1,alley oop dunk,1,2,13,16
221,play_33,pass,20:08:04,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,13,16
222,play_33,dribble,20:08:05,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,13,16
223,play_33,pass,20:08:16,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,13,16
224,play_33,dribble,20:08:17,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,13,16
225,play_33,shot-miss,20:08:18,Derrick White,Boston Celtics,Boston Celtics,1st quarter,0,pullup jump shot,27,3,13,16
226,play_34,defensive-rebound,20:08:20,Maxi Kleber,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,13,16
227,play_34,pass,20:08:21,Maxi Kleber,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,13,16
228,play_34,pass,20:08:22,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,13,16
229,play_34,dribble,20:08:23,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,13,16
230,play_34,shot-make,20:08:37,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,fadeaway jumpshot,19,2,15,16
231,play_35,pass,20:08:38,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,15,16
232,play_35,dribble,20:08:39,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,15,16
233,play_35,pass,20:08:47,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,15,16
234,play_35,dribble,20:08:51,Kristaps Porzingis,Boston Celtics,Boston Celtics,1st quarter,1,,,,15,16
