"order","timestamp","DAL_play","DAL_score_tally","score_board","BOS_score_tally","BOS_play","quarter","timediff"
485,NA,"Defensive rebound by L. Dončić","","93-103","","","q4",NA
486,NA,"Shooting foul by J. Brown (drawn by P. Washington)","","93-103","","","q4",NA
487,NA,"P. Washington makes free throw 1 of 2","+1","94-103","","","q4",NA
488,NA,"P. Washington makes free throw 2 of 2","+1","95-103","","","q4",NA
489,NA,"","","95-103","","J. Brown misses 3-pt jump shot from 30 ft","q4",NA
490,NA,"Defensive rebound by L. Dončić","","95-103","","","q4",NA
491,NA,"L. Dončić makes 2-pt layup from 2 ft","+2","97-103","","","q4",NA
492,NA,"Shooting foul by A. Horford (drawn by L. Dončić)","","97-103","","","q4",NA
493,NA,"L. Dončić makes free throw 1 of 1","+1","98-103","","","q4",NA
494,NA,"","","98-103","","J. Tatum misses 2-pt dunk from 3 ft (block by D. Jones)","q4",NA
495,NA,"Defensive rebound by P. Washington","","98-103","","","q4",NA
496,NA,"P. Washington misses 2-pt dunk from 2 ft (block by D. White)","","98-103","","","q4",NA
497,NA,"","","98-103","","Defensive rebound by J. Holiday","q4",NA
498,NA,"","","98-105","+2","J. Brown makes 2-pt layup from 3 ft","q4",NA
499,NA,"Dallas full timeout","","98-105","","","q4",NA
500,NA,"L. Dončić misses 3-pt jump shot from 25 ft","","98-105","","","q4",NA
501,NA,"","","98-105","","Defensive rebound by J. Holiday","q4",NA
502,NA,"","","98-105","","Turnover by Team (shot clock)","q4",NA
